1,1,1738,7861
2,1,1642,9251
3,1,1794,8706
4,1,2051,8575
5,1,2079,7917
6,1,2234,8263
7,1,2032,9456
8,1,2035,8003
9,1,2115,7365
10,1,2262,7832
11,1,2267,7849
12,1,2517,9077
1,2,1364,1622
2,2,1408,1742
3,2,1597,1523
4,2,1444,1515
5,2,1342,1622
6,2,1675,1602
7,2,1470,1964
8,2,1448,1515
9,2,1464,1527
10,2,1831,1748
11,2,1612,1654
12,2,1471,1861
1,3,1759,1147
2,3,1685,1357
3,3,1479,1329
4,3,1763,1204
5,3,1674,998
6,3,2103,1077
7,3,1502,1277
8,3,1622,1218
9,3,1828,896
10,3,2155,1003
11,3,2233,1108
12,3,2059,1121
1,4,1223,407
2,4,1146,396
3,4,1010,348
4,4,1257,341
5,4,1426,315
6,4,1532,328
7,4,1953,352
8,4,1123,331
9,4,1343,287
10,4,1243,384
11,4,1762,321
12,4,1306,342
1,5,1456,2902
2,5,1499,3172
3,5,1609,3046
4,5,1741,3068
5,5,1482,2693
6,5,1572,2910
7,5,1606,3275
8,5,1735,2697
9,5,1607,2663
10,5,1573,3017
11,5,1613,3242
12,5,1690,3425
